DATE,STATION_NUMBER,DISCHARGE
2008-01-01,05BB001,9.420000076293944
2008-01-02,05BB001,9.260000228881836
2008-01-03,05BB001,9.710000038146973
2008-01-04,05BB001,9.880000114440918
2008-01-05,05BB001,9.890000343322754
2008-01-06,05BB001,9.75
2008-01-07,05BB001,9.640000343322754
2008-01-08,05BB001,9.729999542236328
2008-01-09,05BB001,9.84000015258789
2008-01-10,05BB001,9.90999984741211
2008-01-11,05BB001,9.84000015258789
2008-01-12,05BB001,9.65999984741211
2008-01-13,05BB001,9.56999969482422
2008-01-14,05BB001,9.4399995803833
2008-01-15,05BB001,9.470000267028809
2008-01-16,05BB001,8.369999885559082
2008-01-17,05BB001,8.84000015258789
2008-01-18,05BB001,9.539999961853027
2008-01-19,05BB001,9.56999969482422
2008-01-20,05BB001,8.960000038146973
2008-01-21,05BB001,8.1899995803833
2008-01-22,05BB001,8.890000343322754
2008-01-23,05BB001,8.989999771118164
2008-01-24,05BB001,8.90999984741211
2008-01-25,05BB001,9.109999656677246
2008-01-26,05BB001,9.350000381469728
2008-01-27,05BB001,8.899999618530273
2008-01-28,05BB001,8.479999542236328
2008-01-29,05BB001,8.25
2008-01-30,05BB001,8.449999809265137
2008-01-31,05BB001,8.600000381469727
2008-02-01,05BB001,8.600000381469727
2008-02-02,05BB001,8.6899995803833
2008-02-03,05BB001,8.640000343322754
2008-02-04,05BB001,8.510000228881836
2008-02-05,05BB001,8.5600004196167
2008-02-06,05BB001,8.619999885559082
2008-02-07,05BB001,8.569999694824219
2008-02-08,05BB001,8.5600004196167
2008-02-09,05BB001,8.470000267028809
2008-02-10,05BB001,8.149999618530273
2008-02-11,05BB001,8.5
2008-02-12,05BB001,8.649999618530273
2008-02-13,05BB001,8.770000457763672
2008-02-14,05BB001,8.630000114440918
2008-02-15,05BB001,8.680000305175781
2008-02-16,05BB001,8.569999694824219
2008-02-17,05BB001,8.3100004196167
2008-02-18,05BB001,8.390000343322754
2008-02-19,05BB001,8.239999771118164
2008-02-20,05BB001,8.1899995803833
2008-02-21,05BB001,8.149999618530273
2008-02-22,05BB001,8.170000076293945
2008-02-23,05BB001,8.180000305175781
2008-02-24,05BB001,8.109999656677246
2008-02-25,05BB001,8.210000038146973
2008-02-26,05BB001,8.079999923706055
2008-02-27,05BB001,8.34000015258789
2008-02-28,05BB001,8.229999542236328
2008-02-29,05BB001,7.820000171661377
2008-03-01,05BB001,7.880000114440918
2008-03-02,05BB001,7.710000038146973
2008-03-03,05BB001,7.519999980926514
2008-03-04,05BB001,7.730000019073486
2008-03-05,05BB001,7.320000171661377
2008-03-06,05BB001,7.519999980926514
2008-03-07,05BB001,7.78000020980835
2008-03-08,05BB001,7.570000171661377
2008-03-09,05BB001,7.380000114440918
2008-03-10,05BB001,7.449999809265137
2008-03-11,05BB001,7.440000057220459
2008-03-12,05BB001,7.400000095367432
2008-03-13,05BB001,7.190000057220459
2008-03-14,05BB001,7.090000152587891
2008-03-15,05BB001,7.269999980926514
2008-03-16,05BB001,7.320000171661377
2008-03-17,05BB001,7.320000171661377
2008-03-18,05BB001,7.269999980926514
2008-03-19,05BB001,7.239999771118164
2008-03-20,05BB001,7.340000152587891
2008-03-21,05BB001,7.519999980926514
2008-03-22,05BB001,7.460000038146973
2008-03-23,05BB001,7.28000020980835
2008-03-24,05BB001,7.420000076293945
2008-03-25,05BB001,7.070000171661377
2008-03-26,05BB001,7.099999904632568
2008-03-27,05BB001,7.099999904632568
2008-03-28,05BB001,7.170000076293945
2008-03-29,05BB001,7.300000190734863
2008-03-30,05BB001,7.150000095367432
2008-03-31,05BB001,7.0
2008-04-01,05BB001,7.099999904632568
2008-04-02,05BB001,7.400000095367432
2008-04-03,05BB001,7.510000228881836
2008-04-04,05BB001,7.630000114440918
2008-04-05,05BB001,7.690000057220459
2008-04-06,05BB001,7.710000038146973
2008-04-07,05BB001,7.760000228881836
2008-04-08,05BB001,7.769999980926514
2008-04-09,05BB001,7.829999923706055
2008-04-10,05BB001,7.880000114440918
2008-04-11,05BB001,7.860000133514404
2008-04-12,05BB001,8.09000015258789
2008-04-13,05BB001,8.609999656677246
2008-04-14,05BB001,9.399999618530272
2008-04-15,05BB001,9.199999809265137
2008-04-16,05BB001,8.989999771118164
2008-04-17,05BB001,8.859999656677246
2008-04-18,05BB001,9.130000114440918
2008-04-19,05BB001,8.630000114440918
2008-04-20,05BB001,8.3100004196167
2008-04-21,05BB001,8.300000190734863
2008-04-22,05BB001,8.34000015258789
2008-04-23,05BB001,8.470000267028809
2008-04-24,05BB001,8.520000457763672
2008-04-25,05BB001,8.489999771118164
2008-04-26,05BB001,8.329999923706055
2008-04-27,05BB001,8.449999809265137
2008-04-28,05BB001,8.699999809265137
2008-04-29,05BB001,9.239999771118164
2008-04-30,05BB001,9.529999732971191
2008-05-01,05BB001,9.369999885559082
2008-05-02,05BB001,9.210000038146973
2008-05-03,05BB001,9.479999542236328
2008-05-04,05BB001,10.100000381469728
2008-05-05,05BB001,11.100000381469728
2008-05-06,05BB001,11.899999618530272
2008-05-07,05BB001,12.600000381469728
2008-05-08,05BB001,13.699999809265137
2008-05-09,05BB001,13.199999809265137
2008-05-10,05BB001,12.600000381469728
2008-05-11,05BB001,12.600000381469728
2008-05-12,05BB001,13.0
2008-05-13,05BB001,13.5
2008-05-14,05BB001,14.0
2008-05-15,05BB001,15.300000190734863
2008-05-16,05BB001,23.600000381469727
2008-05-17,05BB001,34.599998474121094
2008-05-18,05BB001,50.59999847412109
2008-05-19,05BB001,75.30000305175781
