DATE,STATION_NUMBER,DISCHARGE
2008-05-23,05DA009,79.5999984741211
2008-05-24,05DA009,71.9000015258789
2008-05-25,05DA009,76.4000015258789
2008-05-26,05DA009,81.5
2008-05-27,05DA009,76.5999984741211
2008-05-28,05DA009,81.5999984741211
2008-05-29,05DA009,96.6999969482422
2008-05-30,05DA009,104.0
2008-05-31,05DA009,107.0
2008-06-01,05DA009,119.0
2008-06-02,05DA009,141.0
2008-06-03,05DA009,149.0
2008-06-04,05DA009,134.0
2008-06-05,05DA009,140.0
2008-06-06,05DA009,139.0
2008-06-07,05DA009,117.0
2008-06-08,05DA009,96.5999984741211
2008-06-09,05DA009,86.30000305175781
2008-06-10,05DA009,81.30000305175781
2008-06-11,05DA009,75.0
2008-06-12,05DA009,72.80000305175781
2008-06-13,05DA009,86.4000015258789
2008-06-14,05DA009,93.0999984741211
2008-06-15,05DA009,79.0
2008-06-16,05DA009,76.0
2008-06-17,05DA009,85.4000015258789
2008-06-18,05DA009,94.6999969482422
2008-06-19,05DA009,87.5
2008-06-20,05DA009,84.5
2008-06-21,05DA009,92.5
2008-06-22,05DA009,134.0
2008-06-23,05DA009,149.0
2008-06-24,05DA009,136.0
2008-06-25,05DA009,135.0
2008-06-26,05DA009,127.0
2008-06-27,05DA009,107.0
2008-06-28,05DA009,115.0
2008-06-29,05DA009,162.0
2008-06-30,05DA009,227.0
2008-07-01,05DA009,265.0
2008-07-02,05DA009,266.0
2008-07-03,05DA009,253.0
2008-07-04,05DA009,268.0
2008-07-05,05DA009,262.0
2008-07-06,05DA009,225.0
2008-07-07,05DA009,204.0
2008-07-08,05DA009,174.0
2008-07-09,05DA009,161.0
2008-07-10,05DA009,212.0
2008-07-11,05DA009,181.0
2008-07-12,05DA009,143.0
2008-07-13,05DA009,138.0
2008-07-14,05DA009,152.0
2008-07-15,05DA009,147.0
2008-07-16,05DA009,137.0
2008-07-17,05DA009,132.0
2008-07-18,05DA009,138.0
2008-07-19,05DA009,134.0
2008-07-20,05DA009,135.0
2008-07-21,05DA009,155.0
2008-07-22,05DA009,178.0
2008-07-23,05DA009,178.0
2008-07-24,05DA009,160.0
2008-07-25,05DA009,159.0
2008-07-26,05DA009,160.0
2008-07-27,05DA009,165.0
2008-07-28,05DA009,164.0
2008-07-29,05DA009,155.0
2008-07-30,05DA009,160.0
2008-07-31,05DA009,141.0
2008-08-01,05DA009,127.0
2008-08-02,05DA009,115.0
2008-08-03,05DA009,105.0
2008-08-04,05DA009,104.0
2008-08-05,05DA009,109.0
2008-08-06,05DA009,118.0
2008-08-07,05DA009,132.0
2008-08-08,05DA009,147.0
2008-08-09,05DA009,158.0
2008-08-10,05DA009,179.0
2008-08-11,05DA009,147.0
2008-08-12,05DA009,118.0
2008-08-13,05DA009,120.0
2008-08-14,05DA009,127.0
2008-08-15,05DA009,148.0
2008-08-16,05DA009,174.0
2008-08-17,05DA009,181.0
2008-08-18,05DA009,191.0
2008-08-19,05DA009,223.0
2008-08-20,05DA009,222.0
2008-08-21,05DA009,198.0
2008-08-22,05DA009,169.0
2008-08-23,05DA009,145.0
2008-08-24,05DA009,138.0
2008-08-25,05DA009,160.0
2008-08-26,05DA009,139.0
2008-08-27,05DA009,106.0
2008-08-28,05DA009,88.4000015258789
2008-08-29,05DA009,90.4000015258789
2008-08-30,05DA009,124.0
2008-08-31,05DA009,105.0
2008-09-01,05DA009,80.5999984741211
2008-09-02,05DA009,68.19999694824219
2008-09-03,05DA009,62.70000076293945
2008-09-04,05DA009,57.09999847412109
2008-09-05,05DA009,53.59999847412109
2008-09-06,05DA009,51.79999923706055
2008-09-07,05DA009,49.29999923706055
2008-09-08,05DA009,47.59999847412109
2008-09-09,05DA009,49.20000076293945
2008-09-10,05DA009,48.09999847412109
2008-09-11,05DA009,44.29999923706055
2008-09-12,05DA009,50.20000076293945
2008-09-13,05DA009,58.0
2008-09-14,05DA009,49.900001525878906
2008-09-15,05DA009,47.09999847412109
2008-09-16,05DA009,49.59999847412109
2008-09-17,05DA009,51.79999923706055
2008-09-18,05DA009,54.20000076293945
2008-09-19,05DA009,58.900001525878906
2008-09-20,05DA009,62.29999923706055
2008-09-21,05DA009,66.5
2008-09-22,05DA009,66.5
2008-09-23,05DA009,53.29999923706055
2008-09-24,05DA009,44.09999847412109
2008-09-25,05DA009,40.0
2008-09-26,05DA009,37.09999847412109
2008-09-27,05DA009,35.29999923706055
2008-09-28,05DA009,34.20000076293945
2008-09-29,05DA009,31.799999237060547
2008-09-30,05DA009,31.5
2008-10-01,05DA009,33.70000076293945
2008-10-02,05DA009,37.70000076293945
2008-10-03,05DA009,47.29999923706055
2008-10-04,05DA009,55.70000076293945
2008-10-05,05DA009,50.79999923706055
2008-10-06,05DA009,44.09999847412109
2008-10-07,05DA009,37.400001525878906
2008-10-08,05DA009,33.20000076293945
2008-10-09,05DA009,29.399999618530277
2008-10-10,05DA009,27.5
2008-10-11,05DA009,25.600000381469727
2008-10-12,05DA009,24.899999618530277
2008-10-13,05DA009,24.299999237060547
2008-10-14,05DA009,25.0
2008-10-15,05DA009,22.700000762939453
2008-10-16,05DA009,21.799999237060547
2008-10-17,05DA009,21.799999237060547
2008-10-18,05DA009,23.399999618530277
2008-10-19,05DA009,21.200000762939453
2008-10-20,05DA009,19.899999618530277
2008-10-21,05DA009,19.600000381469727
2008-10-22,05DA009,18.0
2008-10-23,05DA009,17.799999237060547
2008-10-24,05DA009,16.799999237060547
2008-10-25,05DA009,16.600000381469727
2008-10-26,05DA009,14.399999618530272
2008-10-27,05DA009,14.899999618530272
2008-10-28,05DA009,15.300000190734863
2008-10-29,05DA009,15.0
2008-10-30,05DA009,15.0
2008-10-31,05DA009,14.699999809265137
2008-11-01,05DA009,15.0
2008-11-02,05DA009,15.199999809265137
2008-11-03,05DA009,15.300000190734863
2008-11-04,05DA009,15.0
2008-11-05,05DA009,14.800000190734863
2008-11-06,05DA009,13.0
2008-11-07,05DA009,13.199999809265137
2008-11-08,05DA009,13.600000381469728
2008-11-09,05DA009,13.600000381469728
